	Arousal	Valence	Interest	Amusement	Pride	Joy	Pleasure	Contentment	Love	Admiration	Relief	Compassion	Sadness	Guilt	Regret	Shame	Disappointment	Fear	Disgust	Contempt	Hate	Anger
100 Bells	0.32351228	-0.4934149	0	0	0	0	0	0	0	0	0	0	1.33	0	0.67	1	0.67	1.33	4.33	1.67	1.33	4.33
A Symmetry	0.12827488	0.05406036	2.33	2.67	0	0.33	0.67	1	0.67	0	0	1.67	0.67	0	0	0	1.33	1	1	0	0	0
After Noise	-0.2211277	-0.0338556	2.5	0.25	0	0	0	1	0	1	0	2.5	1.5	0.75	1.5	1	0.75	0	0	0	0	0
April	0.32093729	0.16014081	1.5	2	0	3.5	1.5	1.5	0	0	1	0	0.5	0	0	0	0.5	0	2	3	0	0
Artificial Death	-0.2991761	0.01130392	0	0	0	0	0.33	1	0	2.33	1.33	1	1.67	0	0	0.67	1.67	1	0	0	0	0
Chinese Dream 14	0.2560877	-0.3395987	0	0	1.33	0	0	0	0	0	0	0	1	0	0	1.67	1.67	0	3	1.33	0.67	3.33
Cold Sore Lip Red Coat	0.19958144	-0.0278137	1.67	5	0	0.33	0.33	0.67	0.67	0	0	1	1	1.33	1	1	0.67	0.67	0.67	0.33	1	1
Elegy	-0.0767559	-0.1915971	0	0	0	0	0	0	0	0	0	0	3.5	0	0	0	1	1	0.5	1	0	1
Fierce Girl Playing Hopscotch	-0.0800032	0.33952597	2	1.25	1.5	0.75	0.5	2	0.75	1.5	1	1.25	2	0	0.5	0	0	0	0	0	0	0
First Love	0.22528923	0.4666833	1	3	0	3.5	2.5	0	2.5	0	0	0	0	0	0	0	0	0	0	0	0	0
Hail	-0.0686765	-0.0222707	1.5	0	0	0	0	0	0	1.5	0	1.5	0	0	0	0	2	0	0	0	0	0
Imaginary Book	-0.0213935	0.25715807	2.5	1	0	0	1.5	0.5	1.5	0	2	1	0.5	0	0	0	0	0	0	0	0	0
Iron	-0.1114976	0.41575052	1	1	3	0.67	1	2.33	2.33	0.67	1	0.33	2.67	0	1.33	0	0	0	0	0	0	0
Jewel of India	0.0330443	0.52202315	3	1.33	1.33	1.33	2.33	1	3.33	2.33	0	1	1	0	0	0	0.67	0	0	0	0	0
La Bestia / The Beast	0.2605063	-0.1687787	3	0	0	0	0	0	0	0	0	1.33	0.67	0	0	0	0	2	0.67	1	0.67	2.33
La Petite Vie	0.09734978	-0.0808725	1.67	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
La Prima Victoria	0.07579128	-0.1506148	0	1	1.33	0	0	0	0	1.33	0	1.33	0.33	0.67	0.67	0	0.67	0	3.33	1.33	0	1
