title,Author,audio_url,Admiration,Amusement,Anger,Compassion,Contempt,Disappointment,Disgust,Fear,Guilt,Hate,Interest,Joy,Pleasure,Answer.Love,Contentment,Answer.Pride,Answer.Regret,Answer.Relief,Answer.Sadness,Answer.Shame,Approve,Reject
Fire and Ice,Robert Frost,https://media.poetryfoundation.org/uploads/media/default/0001/08/38ca3e74185622f59241a1051d632614fd764d5c.mp3,2,9,1,2,1,2,8,2,8,1,1,9,2,1,2,3,2,5,2,1,,
Fire and Ice,Robert Frost,https://media.poetryfoundation.org/uploads/media/default/0001/08/38ca3e74185622f59241a1051d632614fd764d5c.mp3,8,8,2,6,1,3,3,3,3,7,1,6,7,6,3,4,6,4,3,8,,
Fire and Ice,Robert Frost,https://media.poetryfoundation.org/uploads/media/default/0001/08/38ca3e74185622f59241a1051d632614fd764d5c.mp3,1,3,1,3,2,2,4,1,3,4,3,2,3,3,1,4,2,1,3,3,,
Creative Writing,Miroslav Holub Read the translator's notes,https://media.poetryfoundation.org/uploads/media/default/0001/06/a85b467177014f422aec01762be4f93745e48309.mp3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,
Creative Writing,Miroslav Holub Read the translator's notes,https://media.poetryfoundation.org/uploads/media/default/0001/06/a85b467177014f422aec01762be4f93745e48309.mp3,7,8,3,8,5,2,5,6,6,5,6,8,2,7,1,2,5,7,5,5,,
Creative Writing,Miroslav Holub Read the translator's notes,https://media.poetryfoundation.org/uploads/media/default/0001/06/a85b467177014f422aec01762be4f93745e48309.mp3,8,9,8,4,7,7,8,9,10,7,7,8,10,7,9,8,8,5,7,9,,
John Altoon,Cedar Sigo,https://media.poetryfoundation.org/uploads/media/default/0001/07/a9935e024b4c3950fe6268a11c1f7e507f985c54.mp3,0,0,0,0,0,0,3,2,0,0,0,1,0,0,0,0,0,0,0,0,,
John Altoon,Cedar Sigo,https://media.poetryfoundation.org/uploads/media/default/0001/07/a9935e024b4c3950fe6268a11c1f7e507f985c54.mp3,8,8,0,4,0,2,0,0,0,0,1,7,3,5,4,1,0,2,1,0,,
John Altoon,Cedar Sigo,https://media.poetryfoundation.org/uploads/media/default/0001/07/a9935e024b4c3950fe6268a11c1f7e507f985c54.mp3,4,2,4,3,3,3,3,1,1,3,3,1,1,3,1,3,1,2,4,2,,
An Epiphany,Ted Kooser,https://media.poetryfoundation.org/uploads/media/default/0001/06/bcb7ee415d5931de67fe748f1a3a604f338925d0.mp3,5,6,5,2,4,4,5,7,7,6,3,7,7,3,7,5,7,4,4,6,,
